,Place of interest,Type of place,Place address,BiciMAD Station,Station Location,Bikes Available,Distance (m),Walking time (min)
182,Centro de Servicios Sociales Luis Vives,Monumento de la ciudad de Madrid,AVENIDA INSTITUCION LIBRE DE ENSE&amp;Ntilde;ANZA 160,"490 - Hermanos Garcia Noblejas, 158","Hermanos Garcia Noblejas, 158,",8,48,0
183,Cervantes,Monumento de la ciudad de Madrid,Pº Recoletos 20,94 - Biblioteca Nacional,Paseo de Recoletos nº 20,3,80,1
184,Chamberí a sus hijos,Monumento de la ciudad de Madrid,C Francisco y Jacinto Alcántara 1,161 - Paseo de la Florida,Paseo de la Florida nº 8,9,592,7
185,Chintila,Monumento de la ciudad de Madrid,PARQUE RETIRO ,97 - Alcalá,Avenida de Menéndez Pelayo nº 3,3,167,2
186,Chueca,Monumento de la ciudad de Madrid,Pº Uruguay ,75 - Menéndez Pelayo,"Avenida de Menéndez Pelayo con calle Poeta Esteban Villegas,",8,422,5
187,Chulín,Monumento de la ciudad de Madrid,COMPLEJO ZOOLOGICO DE LA CASA CAMPO ,"327 - Calle El Greco, 27","Calle El Greco, 27,",6,1645,20
188,Cilindros en el espacio,Monumento de la ciudad de Madrid,PASEO CASTELLANA 1,104 - Castellana,Paseo de la Castellana nº 4,1,160,2
189,Cinco obeliscos Centro Comercial Arturo Soria Plaza,Monumento de la ciudad de Madrid,C Arturo Soria 126,"481 - Diego Ayllon, 2","Diego Ayllon, 2,",11,281,3
190,Cinematógrafo,Monumento de la ciudad de Madrid,CARRERA SAN JERONIMO 32,28 - Sevilla,Calle Alcalá nº 27,1,196,2
191,Ciudad Sanitaria 12 Octubre,Monumento de la ciudad de Madrid,Avda Córdoba ,"388 - Doctor Tolosa Latour, 7","Doctor Tolosa Latour, 7,",4,423,5
192,Ciudad Sanitaria La Paz,Monumento de la ciudad de Madrid,Pº Castellana 261,249 - Manuel Caldeiro,Paseo de la Castellana nº 298,25,147,1
194,Clara Campoamor,Monumento de la ciudad de Madrid,Pza Guardias de Corps ,14 - Ventura Rodríguez,"Ventura Rodriguez, 2,",1,333,4
193,Clara Campoamor,Monumento de la ciudad de Madrid,Avda General Fanjul ,"327 - Calle El Greco, 27","Calle El Greco, 27,",6,4585,57
195,Clara del Rey,Monumento de la ciudad de Madrid,CALLE CLARA DEL REY 1,196 - Prosperidad,"Calle Suero de Quiñones nº 3,",1,470,5
196,Claudio Moyano,Monumento de la ciudad de Madrid,C Claudio Moyano ,81 - Cuesta de Moyano,Cuesta de Claudio Moyano,1,16,0
197,Claudio Sánchez Albornoz,Monumento de la ciudad de Madrid,PLAZA CELENQUE 1,25a - Plaza de Celenque A,Plaza de Celenque nº 1,1,31,0
198,Colegiales,Monumento de la ciudad de Madrid,C Mirasierra 29,"384 - Amparo Usera , 46","Amparo Usera , 46,",7,283,3
199,Colegiales,Monumento de la ciudad de Madrid,Pza Pinazo 7,"397 - Calle de Moreja, 30","Calle de Moreja, 30,",1,2978,37
200,Colegio Mayor San Pablo,Monumento de la ciudad de Madrid,CALLE ISAAC PERAL 58,244 - Hospital Clínico,Calle Isaac Peral nº 44,3,263,3
201,Colegio Nacional Padre Vitoria,Monumento de la ciudad de Madrid,C Hacienda de Pavones 328,221 - Pavones,Calle Hacienda de Pavones nº 342,9,413,5
202,Colegio Príncipe Felipe,Monumento de la ciudad de Madrid,AVENIDA MONFORTE DE LEMOS 24,"575 - Ginzo de Limia, 36","Ginzo de Limia, 36,",1,371,4
203,Colegio Público Dionisio Ridruejo,Monumento de la ciudad de Madrid,C Zipaquira 14,526 - Plaza del Liceo,"Plaza del Liceo,",14,2051,25
204,Colonia San Fernando,Monumento de la ciudad de Madrid,Avda Guardia ,"304 - Calle Valle de Mena, 5","Calle Valle de Mena, 5,",5,8285,103
205,Colonia Torres Garrido,Monumento de la ciudad de Madrid,Col Torres Garrido ,350 - Calle de Ervigio,"Calle de Ervigio,",17,1994,24
206,Columna corintia en la Quinta de los Molinos,Monumento de la ciudad de Madrid,CALLE ALCALA 527,"497 - Calle Alcala, 506","Calle Alcalá, 506,",3,44,0
207,Columna de Calatrava,Monumento de la ciudad de Madrid,PLAZA CASTILLA 1,209 - Plaza de Castilla 2,"Paseo Castellana (Fundación Canal),",7,157,1
208,Columna de Saturno,Monumento de la ciudad de Madrid,PARQUE ALAMEDA DE OSUNA ,"555 - Paseo de la Alameda de Osuna, 48","Paseo de la Alameda de Osuna, 48,",1,381,4
209,Columna jónica en la Quinta de los Molinos,Monumento de la ciudad de Madrid,CALLE ALCALA 527,"497 - Calle Alcala, 506","Calle Alcalá, 506,",3,44,0
210,Columna-pedestal de los jardines de Cecilio Rodríguez,Monumento de la ciudad de Madrid, ,70 - Puerta del Doce de Octubre,"Avenida de Menéndez Pelayo nº 63,",1,137,1
211,Columnas Rosaleda I y II,Monumento de la ciudad de Madrid,C Rosaleda ,161 - Paseo de la Florida,Paseo de la Florida nº 8,9,577,7
212,Columnas de la casa de las Siete Chimeneas,Monumento de la ciudad de Madrid,C Infantas 31,20a - Banco de España A,Calle Alcalá nº 49,5,154,1
213,Columnas de los Enfrentados,Monumento de la ciudad de Madrid, ,"555 - Paseo de la Alameda de Osuna, 48","Paseo de la Alameda de Osuna, 48,",1,64,0
214,Columnas del Paseo del Prado,Monumento de la ciudad de Madrid,Pº Prado ,86 - Cibeles,Plaza Cibeles,2,47,0
215,Columnas ornamentales en el jardín del palacete Villa Rosa,Monumento de la ciudad de Madrid, ,"480 - Vicente Muzas, 12","Vicente Muzas, 12,",5,543,6
216,Columnas toscanas Pradolongo,Monumento de la ciudad de Madrid,PARQUE PRADOLONGO ,"388 - Doctor Tolosa Latour, 7","Doctor Tolosa Latour, 7,",4,197,2
217,Columnata del claustro,Monumento de la ciudad de Madrid,JARDIN TRES CULTURAS ,"555 - Paseo de la Alameda de Osuna, 48","Paseo de la Alameda de Osuna, 48,",1,1224,15
218,Composición geométrica,Monumento de la ciudad de Madrid,AUDITORIO PARQUE DE LA VICALVARADA ,"501 - Hermanos Garcia Noblejas, 133","Hermanos Garcia Noblejas, 133,",15,2051,25
219,Concepción Arenal,Monumento de la ciudad de Madrid,Pº Moret ,112 - Paseo de Moret,Paseo de Moret nº 11,2,78,0
220,Concesa de la Maza,Monumento de la ciudad de Madrid,C Claudio Coello 88,190 - Velázquez-Diego de León,Calle Velázquez nº 91,2,421,5
221,Conde de Peñalver,Monumento de la ciudad de Madrid,C Gran Vía 2,28 - Sevilla,Calle Alcalá nº 27,1,168,2
222,Conjunto escultórico parque Arquitecto Antonio Palacios,Monumento de la ciudad de Madrid,CALLE FENELON 17,"517 - Calle San Mariano, 58","Calle San Mariano, 58,",8,507,6
223,Conrado del Campo,Monumento de la ciudad de Madrid,Ctra Aduana 16,28 - Sevilla,Calle Alcalá nº 27,1,186,2
224,Constitución de 1978,Monumento de la ciudad de Madrid,PASEO CASTELLANA 1,104 - Castellana,Paseo de la Castellana nº 4,1,160,2
225,Constitución española,Monumento de la ciudad de Madrid, ,"324 - Calle de las Higueras, 49","Calle de las Higueras, 49,",13,2082,26
226,Consuelo Rubio,Monumento de la ciudad de Madrid,C O'Donnell 11,85 - Puerta de Madrid,"Avenida de Menéndez Pelayo, 9,",5,65,0
227,Copa,Monumento de la ciudad de Madrid,Pza España 10,116a - Plaza de España A,Calle Princesa nº 5,3,178,2
228,Corral de Comedias,Monumento de la ciudad de Madrid,Pza La Corrala ,53 - Plaza de Lavapiés,Calle Valencia nº 1,4,214,2
229,Corredera Baja de San Pablo,Monumento de la ciudad de Madrid,Cdra Baja San Pablo 28,55 - Plaza de San Ildefonso,Plaza de San Ildefonso,8,77,0
230,Cristóbal Colón,Monumento de la ciudad de Madrid,Pza Colón ,104 - Castellana,Paseo de la Castellana nº 4,1,195,2
231,Cruceiro Virgen del Camino,Monumento de la ciudad de Madrid,C Fenelón 42,"517 - Calle San Mariano, 58","Calle San Mariano, 58,",8,615,7
232,Cruceiro de la Ermita de Nuestra Señora del Buen Camino,Monumento de la ciudad de Madrid,Pº Ermita del Santo ,261 - Facultad Derecho,Avenida Complutense nº 23,2,5677,70
233,Cruceiro de la Ermita de San Isidro,Monumento de la ciudad de Madrid,Pº Ermita del Santo 78,223 - Ermita Santo,Paseo de la Ermita del Santo nº 48,1,676,8
234,Cruceiro de la plaza de Galicia,Monumento de la ciudad de Madrid,Pza Galicia ,102 - Velázquez,Calle Alcalá nº 95,1,161,2
235,Cruceiro del parque de Breogán,Monumento de la ciudad de Madrid, ,242 - Avenida Bruselas,Avenida Bruselas nº 56,3,390,4
236,Crucero en la calle General Romero Basart,Monumento de la ciudad de Madrid,C General Romero Basart ,"324 - Calle de las Higueras, 49","Calle de las Higueras, 49,",13,4228,52
237,Cruz Puerta Cerrada,Monumento de la ciudad de Madrid,Pza Puerta Cerrada ,35 - Plaza del Cordón,Plaza del Cordón,2,250,3
238,Cruz de Piedra,Monumento de la ciudad de Madrid,Pza Parroquia 1,350 - Calle de Ervigio,"Calle de Ervigio,",17,1954,24
239,Cruz de término,Monumento de la ciudad de Madrid,C Principal de Provincias ,216 - Puerta del Ángel,Plaza Puerta del Ángel nº 4,11,326,4
240,Cuatro Ríos,Monumento de la ciudad de Madrid,JARDIN TRES CULTURAS ,"555 - Paseo de la Alameda de Osuna, 48","Paseo de la Alameda de Osuna, 48,",1,1224,15
241,Cuatro estanques CYII,Monumento de la ciudad de Madrid,CARRETERA CASTILLA 12,257 - INEF,Avenida Juan de Herrera frente a la calle Paul Guinard,5,1414,17
242,Cuba,Monumento de la ciudad de Madrid,PASEO EL SALVADOR ,85 - Puerta de Madrid,"Avenida de Menéndez Pelayo, 9,",5,253,3
243,Cuerpo de Bomberos,Monumento de la ciudad de Madrid,C Montera 31,56 - Plaza del Carmen ,Plaza del Carmen nº 1,1,107,1
244,Cástor y Pólux,Monumento de la ciudad de Madrid,C Villablanca 41,"501 - Hermanos Garcia Noblejas, 133","Hermanos Garcia Noblejas, 133,",15,2566,32
245,Cátedra de taquigrafía española,Monumento de la ciudad de Madrid,C Marqués de Cubas 15,29 - Marqués de Cubas,Calle del Marqués de Cubas nº 25,3,95,1
246,Dados de Hormigón Parque del Retiro,Monumento de la ciudad de Madrid,PARQUE RETIRO ,97 - Alcalá,Avenida de Menéndez Pelayo nº 3,3,167,2
247,Daniel Urrabieta Vierge,Monumento de la ciudad de Madrid,C Huertas 28,41 - Antón Martín,Calle Atocha nº 54,1,158,1
248,Daniel Vázquez Díaz,Monumento de la ciudad de Madrid,C María de Molina 66,143- Diego de Leon 52,"Calle Diego de Leon, 52,",2,288,3
249,Daoiz y Velarde,Monumento de la ciudad de Madrid,Pza Dos de Mayo ,12 - San Hermenegildo,"Calle San Bernardo nº 85,",1,282,3
250,Daoiz y Velarde y Arco de Monteleón,Monumento de la ciudad de Madrid,Pza Dos de Mayo ,4 - Malasaña,Calle Manuela Malasaña nº 5,1,244,3
251,David González Rubio I,Monumento de la ciudad de Madrid,C Doctor Tolosa Latour ,"388 - Doctor Tolosa Latour, 7","Doctor Tolosa Latour, 7,",4,249,3
252,David González Rubio II,Monumento de la ciudad de Madrid,C Doctor Tolosa Latour ,"388 - Doctor Tolosa Latour, 7","Doctor Tolosa Latour, 7,",4,243,3
253,Dedos,Monumento de la ciudad de Madrid,PARQUE JUAN CARLOS I 1,"499 - Calle Alcala, 590","Calle Alcala, 590,",9,1458,18
254,Derechos del Niño,Monumento de la ciudad de Madrid,Pº Recoletos ,94 - Biblioteca Nacional,Paseo de Recoletos nº 20,3,58,0
255,Diana,Monumento de la ciudad de Madrid,Pº Uruguay ,102 - Velázquez,Calle Alcalá nº 95,1,301,3
256,Diana,Monumento de la ciudad de Madrid,Trav Felipe de Diego ,"417 - Calle de Romeo y Julieta, 12","Calle de Romeo y Julieta, 12,",17,281,3
257,Diego de Silva Velázquez,Monumento de la ciudad de Madrid,C Juan Bravo ,190 - Velázquez-Diego de León,Calle Velázquez nº 91,2,170,2
258,Dimitar Dimov,Monumento de la ciudad de Madrid,Pza Lealtad 2,65 - Antonio Maura,Calle Antonio Maura nº 15,1,294,3
259,Dinastía torera Bienvenida,Monumento de la ciudad de Madrid,C Príncipe de Vergara 3,97 - Alcalá,Avenida de Menéndez Pelayo nº 3,3,81,1
260,Dionisio Ridruejo,Monumento de la ciudad de Madrid, ,"461 - Corregidor licenciado Antonio de Mena, sn","Corregidor licenciado Antonio de Mena, sn,",2,302,3
261,Diosa Hera,Monumento de la ciudad de Madrid,Pº Duque de Fernán Núñez ,70 - Puerta del Doce de Octubre,"Avenida de Menéndez Pelayo nº 63,",1,253,3
262,Doble ancla,Monumento de la ciudad de Madrid,C Alicún 9,"525 - Calle de Bacares, 20","Calle de Bacares, 20,",5,415,5
263,Doctor Benavente,Monumento de la ciudad de Madrid,PLAZA PARTERRE ,350 - Calle de Ervigio,"Calle de Ervigio,",17,3030,37
264,Doctor Conde Arruga,Monumento de la ciudad de Madrid,C Hacienda de Pavones 105,"457 - Hacienda de Pavones, 148","Hacienda de Pavones, 148,",15,217,2
265,Doctor Cortezo,Monumento de la ciudad de Madrid,PARQUE RETIRO ,97 - Alcalá,Avenida de Menéndez Pelayo nº 3,3,167,2
266,Doctor Esquerdo,Monumento de la ciudad de Madrid,AVENIDA POBLADOS 70,"324 - Calle de las Higueras, 49","Calle de las Higueras, 49,",13,2898,36
267,Doctor Fleming,Monumento de la ciudad de Madrid,CALLE ALCALA 231,187 - Alcalá-Ventas,Calle Alejandro González nº 1,3,89,1
268,Doctor García Tapia,Monumento de la ciudad de Madrid,C Arroyo Belincoso ,"458 - Calle del Arroyo Belincoso, 26","Calle del Arroyo Belincoso, 26,",4,240,3
269,Doctor Gómez Ulla,Monumento de la ciudad de Madrid,C Doctor Gómez Ulla 2,184 - Marqués de Zafra,Paseo Marqués de Zafra nº 24,4,444,5
270,Doctor Larra y Cerezo,Monumento de la ciudad de Madrid,CALLE JUAN ALVAREZ MENDIZABAL 12,116a - Plaza de España A,Calle Princesa nº 5,3,134,1
271,Doctor Ángel Pulido Fernández,Monumento de la ciudad de Madrid,PLAZA PARTERRE ,350 - Calle de Ervigio,"Calle de Ervigio,",17,3030,37
272,Dodecaedro-Éter,Monumento de la ciudad de Madrid,Pº Melancólicos ,236 - Paseo Imperial,Paseo Imperial nº 20,4,249,3
273,Don Juan de Borbón,Monumento de la ciudad de Madrid,Gta Su Alteza Real Don Juan de Borbón y Battemberg ,"499 - Calle Alcala, 590","Calle Alcala, 590,",9,1614,20
274,Dos Niños,Monumento de la ciudad de Madrid,C Portal de Belén ,83 - Pío Baroja,Calle Pío Baroja nº 10,5,118,1
275,Dos bajorrelieves Nª Sª del Rosario,Monumento de la ciudad de Madrid,C Arturo Soria 278,"534 - Calle de Mesena, 102","Calle de Mesena, 102,",6,571,7
276,Dos columnas en la calle Conde Duque,Monumento de la ciudad de Madrid,C Conde Duque ,3 - Plaza Conde Suchil,Plaza del Conde del Valle de Súchil nº 3,3,359,4
277,Dos columnas en los jardines de Cecilio Rodríguez,Monumento de la ciudad de Madrid, ,70 - Puerta del Doce de Octubre,"Avenida de Menéndez Pelayo nº 63,",1,151,1
278,Dos estanques con ría del parque del Soto de Entrevías,Monumento de la ciudad de Madrid,PARQUE ENTREVIAS ,"422 - Travesia de Palomeras, 7","Travesia de Palomeras, 7,",4,900,11
279,Dos estanques rectangulares en la calle Alcalá,Monumento de la ciudad de Madrid,C Alcalá 527,"497 - Calle Alcala, 506","Calle Alcalá, 506,",3,654,8
280,Dos fuentes circulares de la Fundación BBVA,Monumento de la ciudad de Madrid,Pº Recoletos ,94 - Biblioteca Nacional,Paseo de Recoletos nº 20,3,210,2
281,Dos fuentes triangulares de la Casa de Campo,Monumento de la ciudad de Madrid,C Principal de Provincias ,"326 - Calle Francisco de Tejada, 1","Calle Francisco de Tejada, 1,",4,425,5
282,Dos toros del Palacio Vistalegre,Monumento de la ciudad de Madrid,C Utebo 1,350 - Calle de Ervigio,"Calle de Ervigio,",17,1274,15
283,Dr. Arturo Umberto Illia,Monumento de la ciudad de Madrid,C Martín Fierro ,257 - INEF,Avenida Juan de Herrera frente a la calle Paul Guinard,5,397,4
284,Duque de Alba y de Berwick,Monumento de la ciudad de Madrid,C Princesa 20,14 - Ventura Rodríguez,"Ventura Rodriguez, 2,",1,109,1
285,Duquesa de la Victoria,Monumento de la ciudad de Madrid,AVENIDA REINA VICTORIA 24,204 - Cuatro Caminos 2,"Calle Doctor Santero nº 1,",1,403,5
286,Décollage naval,Monumento de la ciudad de Madrid,C Marqués de Villamagna ,105 - Serrano,Calle Serrano nº 54,2,303,3
287,Día y Noche,Monumento de la ciudad de Madrid, ,80a - Atocha A,Paseo de la Infanta Isabel nº 3,3,189,2
288,Edificio de la Beneficiencia,Monumento de la ciudad de Madrid,C Ternera 2,22 - Jacometrezo,Calle Jacometrezo nº 3,1,109,1
289,Eduardo Alfonso,Monumento de la ciudad de Madrid,C Arenal 26,25b - Plaza de Celenque B,Plaza de Celenque nº 1,1,220,2
290,Eduardo Lozano y Ponce de León,Monumento de la ciudad de Madrid,Pza Doctor Lozano ,218 - Camino Vinateros,Calle Camino de los Vinateros nº 28,5,807,10
291,Eduardo Marquina,Monumento de la ciudad de Madrid,C Barquillo 7,20a - Banco de España A,Calle Alcalá nº 49,5,135,1
292,Eduardo Rosales,Monumento de la ciudad de Madrid,CALLE LIBERTAD 23,58 - Augusto Figueroa,"Calle Augusto Figueroa nº 33,",5,100,1
293,Eduardo Rosales,Monumento de la ciudad de Madrid,CALLE VALGAME DIOS 2,58 - Augusto Figueroa,"Calle Augusto Figueroa nº 33,",5,141,1
294,Eduardo Rosales,Monumento de la ciudad de Madrid,Pº Pintor Rosales ,117 - Altamirano,Calle Altamirano nº 24,1,423,5
295,Educación de la Infancia,Monumento de la ciudad de Madrid,PLAZA SALESAS 1,26 - Plaza de las Salesas,"Plaza de las Salesas 7,",6,59,0
296,El Abrazo,Monumento de la ciudad de Madrid,Pza Antón Martín ,41 - Antón Martín,Calle Atocha nº 54,1,34,0
297,El Balancín,Monumento de la ciudad de Madrid,CALLE PUERTO RICO 22,160 - Colombia,Calle Colombia nº 7,2,452,5
298,El Bosque de los Tótems,Monumento de la ciudad de Madrid,Pº Florida 2,161 - Paseo de la Florida,Paseo de la Florida nº 8,9,392,4
299,El Encierro,Monumento de la ciudad de Madrid,C Julio Camba ,187 - Alcalá-Ventas,Calle Alejandro González nº 1,3,166,2
300,El Encuentro,Monumento de la ciudad de Madrid,C Fuente Carrantona 8,221 - Pavones,Calle Hacienda de Pavones nº 342,9,345,4
301,El Guerrero,Monumento de la ciudad de Madrid,C Santa Irene ,233 - Marqués de Corbera 12,Avenida Marqués de Corbera nº 12,2,738,9
302,El Madroño,Monumento de la ciudad de Madrid,C Oca ,"323 - Calle Gallur, 5","Calle Gallur, 5,",7,1294,16
303,El Niño,Monumento de la ciudad de Madrid,CALLE MAURICIO LEGENDRE 36,252 - Chamartín,Calle Rodríguez Jaén nº 40,1,438,5
304,El Portillo de los Pinos,Monumento de la ciudad de Madrid,PARQUE CASA DE CAMPO ,261 - Facultad Derecho,Avenida Complutense nº 23,2,3660,45
305,El Pueblo Español tiene un camino que conduce a una estrella,Monumento de la ciudad de Madrid,C Sánchez Bustillo ,50 - Museo Reina Sofía,Calle Santa Isabel nº 57,1,80,1
306,El Racing Club a los héroes de África,Monumento de la ciudad de Madrid,PLAZA CHAMBERI 4,124 - Manuel Silvela,Calle Manuel Silvela nº 20,1,341,4
307,El Vecino Curioso,Monumento de la ciudad de Madrid,C Almudena ,36 - Plaza Ramales,Plaza de Ramales,1,218,2
308,El buzón de las palabras,Monumento de la ciudad de Madrid,Pza Carabanchel ,350 - Calle de Ervigio,"Calle de Ervigio,",17,1904,23
309,El lector,Monumento de la ciudad de Madrid,C San Justo ,35 - Plaza del Cordón,Plaza del Cordón,2,74,0
310,El perro,Monumento de la ciudad de Madrid,GLORIETA EJERCITO 1,"323 - Calle Gallur, 5","Calle Gallur, 5,",7,1577,19
311,El perro callejero,Monumento de la ciudad de Madrid,COMPLEJO ZOOLOGICO DE LA CASA CAMPO ,"327 - Calle El Greco, 27","Calle El Greco, 27,",6,1645,20
312,El Ángel Caído,Monumento de la ciudad de Madrid,Gta Ángel Caído ,75 - Menéndez Pelayo,"Avenida de Menéndez Pelayo con calle Poeta Esteban Villegas,",8,549,6
313,Elemento mecánico ferroviario,Monumento de la ciudad de Madrid,C Arganda 9,170 - Paseo de la Esperanza,Paseo de la Esperanza nº 21,4,189,2
314,Elena Fortún,Monumento de la ciudad de Madrid,PASEO RUPERTO CHAPI ,112 - Paseo de Moret,Paseo de Moret nº 11,2,279,3
315,Eloy Gonzalo 'Cascorro',Monumento de la ciudad de Madrid,Pza Cascorro ,39 - Plaza de la Cebada,Plaza de la Cebada nº 16 ,3,207,2
316,Embarcadero del Estanque del Retiro,Monumento de la ciudad de Madrid,Pº Estanque (Parque del Retiro) ,102 - Velázquez,Calle Alcalá nº 95,1,323,4
317,Emilia Pardo Bazán,Monumento de la ciudad de Madrid,C Princesa ,14 - Ventura Rodríguez,"Ventura Rodriguez, 2,",1,59,0
318,Emilio Castelar,Monumento de la ciudad de Madrid,GLORIETA EMILIO CASTELAR ,198 - Rubén Darío,Glorieta Rubén Darío 2,1,409,5
319,Encuentro en la playa,Monumento de la ciudad de Madrid,Trav Felipe de Diego 2,"417 - Calle de Romeo y Julieta, 12","Calle de Romeo y Julieta, 12,",17,167,2
320,Encuentros,Monumento de la ciudad de Madrid, ,"555 - Paseo de la Alameda de Osuna, 48","Paseo de la Alameda de Osuna, 48,",1,1809,22
321,Enrique Arroyo,Monumento de la ciudad de Madrid,C Rosaleda ,161 - Paseo de la Florida,Paseo de la Florida nº 8,9,473,5
322,Enrique Carrión,Monumento de la ciudad de Madrid,C Gran Vía 41,22 - Jacometrezo,Calle Jacometrezo nº 3,1,46,0
323,Enrique Herreros,Monumento de la ciudad de Madrid,CALLE CEA BERMUDEZ 2,201 - Canal,Calle José Abascal frente al nº 2,4,210,2
324,Enrique II,Monumento de la ciudad de Madrid,Pº República Argentina ,65 - Antonio Maura,Calle Antonio Maura nº 15,1,234,2
325,Enrique Iniesta,Monumento de la ciudad de Madrid,PARQUE QUINTA FUENTE DEL BERRO ,185 - Quinta Fuente del Berro,Calle Sancho Dávila esquina Paseo Marqués de Zafra,3,82,1
